Confnum,Reservation ID,Status,Booking Date,Arrival Date,Departure Date,Booking Window,LOS,Quantity,Room Type,Revenue,Adults,Children,Rate Code,Market Segment Group,Market Code,Source Code,Reservation Type,Block Id
135703,129559,CKOT,5/31/18,5/31/18,6/1/18,0,1,1,A1D,250,2,0,T20,Retail Discount,TRA,PMS,,
135704,129560,CKOT,6/1/18,6/30/18,7/1/18,29,1,1,D1K,205,2,0,NFCC,OTA E-Commerce,TEC,1P,,
135706,129561,CKOT,6/1/18,8/10/18,8/12/18,70,2,1,A1K,760,2,0,NW86,OTA E-Commerce,TEC,EXPDC,,
135707,129562,CKOT,6/1/18,6/2/18,6/3/18,1,1,1,ADA,220,2,0,NFCC,OTA E-Commerce,TEC,1P,,
135709,129564,CKOT,6/1/18,6/28/18,7/1/18,27,3,1,B1K,766,2,0,T08,Retail Discount,TRA,XBE,,
135714,129570,CKOT,6/1/18,6/2/18,6/3/18,1,1,1,B1K,235,2,0,NX5A,OTA E-Commerce,TEC,DSF,,
135716,129572,CKOT,6/1/18,10/4/18,10/8/18,125,4,1,B1K,1080,2,0,NMNM,Retail Discount,CSI,AA,,
135717,129573,CKOT,6/1/18,10/4/18,10/8/18,125,4,1,ADA,1080,2,0,NMNM,Retail Discount,CSI,AA,,
135907,129758,CKOT,6/2/18,6/2/18,6/3/18,0,1,1,A1K,275,2,0,NH7,Retail Discount,CSI,UA,,
135719,129575,CKOT,6/1/18,6/1/18,6/4/18,0,3,1,A1D,849,2,0,NLYO,OTA E-Commerce,TEC,PMS,,
135721,129578,CKOT,6/1/18,6/2/18,6/3/18,1,1,1,C1K,275,2,0,NH7,Retail Discount,CSI,PMS,,
135723,129579,CKOT,6/1/18,6/13/18,6/14/18,12,1,1,C1K,275,2,0,N9R,Corporate,CON,PMS,,
135724,129580,CKOT,6/1/18,6/7/18,6/8/18,6,1,1,D1K,351,1,0,NH7,Retail Discount,CSI,PMS,,
135725,129581,CKOT,6/1/18,6/21/18,6/25/18,20,4,1,C1K,1520,2,0,N8N,Retail Discount,CSI,PMS,,
135727,129583,CKOT,6/1/18,6/14/18,6/16/18,13,2,1,A1D,783,2,0,NMNM,Retail Discount,CSI,AA,,
136111,129964,CKOT,6/5/18,10/14/18,10/15/18,131,1,1,C1S,387,2,0,NH7,Retail Discount,CSI,UA,,
135733,129587,CKOT,6/1/18,8/27/18,8/30/18,87,3,1,B1K,602,1,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135735,129589,CKOT,6/1/18,6/19/18,6/21/18,18,2,1,D1K,608,1,0,N85,Corporate,CON,AA,,
135737,129591,CKOT,6/1/18,6/26/18,6/27/18,25,1,1,B1S,650,1,0,N8N,Retail Discount,CSI,PMS,,
135738,129594,CKOT,6/1/18,6/6/18,6/8/18,5,2,1,A1K,698,1,0,NOL,Corporate,COT,PMS,,
135739,129595,CKOT,6/1/18,6/1/18,6/2/18,0,1,1,A1D,399,2,0,CR,Retail Discount,TRA,PMS,,
135741,129598,CKOT,6/1/18,6/1/18,6/2/18,0,1,1,B1K,212,1,0,NSYX,OTA E-Commerce,TEC,EXPDC,,
135742,129600,CKOT,6/2/18,6/1/18,6/2/18,0,1,1,D1K,257,2,0,NH7,Retail Discount,CSI,UA,,
135743,129601,CKOT,6/2/18,6/8/18,6/9/18,6,1,1,A1K,228,2,0,NSYX,OTA E-Commerce,TEC,EXPDC,,
135746,129603,CKOT,6/2/18,7/7/18,7/9/18,35,2,1,B1K,421,2,0,NW86,OTA E-Commerce,TEC,EXPDC,,
135748,129605,CKOT,6/2/18,6/21/18,6/24/18,19,3,1,A1D,916,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135749,129606,CKOT,6/2/18,6/21/18,6/24/18,19,3,1,A1D,916,1,1,N78I,OTA E-Commerce,TEC,EXPDC,,
135751,129609,CKOT,6/2/18,6/7/18,6/10/18,5,3,1,A1K,1249,2,1,NP6I,OTA E-Commerce,TEC,EXPDC,,
