"","ME","MAE","SDE","MPE","MAPE","Time"
"Additive Pickup",1.02549774119896,5.40707616195421,6.78130854544519,0.233227359141063,0.321411012119599,0.136075973510742
"Multiplicative Pickup",-0.613291055306437,6.91677990759373,8.83338173233633,-0.00774504003337364,0.210150917886711,0.136512041091919
"Regression",0.88832489905825,5.31111844017039,6.66686343436505,0.209525356088974,0.301082143588813,0.0637040138244629
"Neural Network",-14.5860458240885,14.6340957111692,7.09652488465739,-0.391917086607729,0.401541603028987,33.7303760051727
"K-Nearest Neighbor",1.62966770806361,5.77483093082938,7.53554827459338,0.308085020377785,0.392657773120472,18.6308999061584
"Weighted K-Nearest Neighbor",1.24190586093052,5.85266032442213,7.57095369521978,0.230838559219173,0.329301342015703,1.83044791221619
"Decision Tree",1.01588542435954,5.60600581395547,7.01467004498343,0.200929634460096,0.298998128022797,0.0963759422302246
"Random Forest",0.941736741851684,5.36015158251188,6.81390579041325,0.164987192014361,0.265227917755282,174.460235118866
"Support Vector Machine",0.817519324859907,5.20096220688146,6.56980196503538,0.21239543461051,0.303999087621238,40.2028570175171
