ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
11,Saturday,13.434399999999998,13.854800000000004,13.904695238095247,14.336000000000006,14.345833333333339,15.36183333333335,15.544333333333329,20.234265186638478,34.98444918288734,35.48606726433843,37.96310013788838,37.667617831618315
9,Sunday,7.3109333333333355,12.17983333333334,12.47726666666667,4.80216666666667,5.243333333333331,5.122600000000001,5.0422666666666665,13.47945897617406,16.84948214421248,17.812968866363303,27.97056653295916,37.98049896787202
7,Monday,4.580499999999999,4.838633333333334,4.957666666666665,4.167366666666669,4.556466666666666,4.21036666666667,4.000666666666669,16.120082212768654,20.826443553513958,23.302189176669383,43.10870189192761,47.60435894556317
7,Tuesday,4.371399999999997,4.506566666666668,4.676099999999998,4.668000000000002,5.1537333333333315,4.635600000000003,4.765133333333332,13.59908097456688,21.46125712969813,31.96163566774412,38.47825567499508,40.61800115497017
22,Wednesday,20.859466666666666,20.767066666666665,21.5933,21.72646666666667,21.37023333333333,22.340147619047606,22.36213333333336,32.1330065788304,25.02860178101919,27.862310223342558,36.2915078489473,38.054547995358526
15,Friday,13.445199999999998,13.532633333333338,13.170033333333338,13.709733333333325,13.51743333333334,14.458833333333333,14.301133333333329,15.794924753169207,16.625692290245414,16.29549818541738,31.296727926048224,41.16072229251998
26,Saturday,29.05828333333332,27.66745000000001,33.41266666666667,31.48265,24.787899999999997,33.465,36.9978714285714,36.16785866292668,34.415311358155115,33.78052016330172,36.02615165619094,36.9203453276316
55,Tuesday,50.72735952380953,48.42538441558443,47.93448095238094,44.192995238095214,44.01300670995674,43.36169819624821,44.34961298701305,41.82133123368196,40.04208015031837,39.87717189035006,42.17932374174244,37.40883100752696
21,Saturday,21.09030476190477,22.19179999999999,25.675709523809527,25.05016666666667,25.765442857142858,25.62046666666665,26.960800000000013,20.234265186638478,19.365716541819392,26.109627101120434,37.70177240033979,37.667617831618315
32,Saturday,31.444850000000002,29.275066666666657,36.2995,38.35587150072146,38.29242857142857,40.470606363081345,36.55422142857144,39.52142087563836,34.801106357778004,36.46739400180357,36.02615165619094,36.288932319516235
40,Sunday,40.2188007936508,39.87885909090906,39.41459682539681,38.75559999999999,39.6295619047619,41.01147857142857,44.71403809523811,38.15289141996106,47.996808724331245,41.433811721017165,38.75578917033411,39.5047245000402
26,Sunday,30.656973809523798,30.86070000000001,30.922416666666624,30.786809523809517,29.63286666666667,30.327287301587294,30.051502380952368,34.98720462075269,34.653189791085325,38.05230358974163,38.695288540017835,36.39334883629189
49,Thursday,52.26289285714288,51.79445555555558,52.15142453102452,50.525477777777745,51.89180000000003,52.61763968253969,52.142561904761905,48.30633004996491,51.865601108880064,49.658952367755376,44.01004811264134,38.66098284987187
44,Friday,39.81734999999999,40.945714285714324,34.13013333333333,34.80155476190474,38.785523809523816,38.61201904761904,37.064235064935055,38.41595680812033,40.81527192107356,40.71246789836497,39.79079712361179,39.74554062304023
30,Tuesday,30.935376190476195,32.067330158730165,32.11424155844157,32.00804285714287,32.26928095238095,32.483219047619045,31.52886666666665,42.71799096435379,42.95139699140681,48.37477208255759,42.17932374174244,40.61800115497017
43,Friday,36.40313333333333,38.142654761904794,34.13013333333333,34.80155476190474,35.63819523809525,35.80639426129426,32.96714920634921,32.019029978719026,39.00499168332277,28.102835291977595,32.51135199276503,38.257879577767454
56,Monday,59.411895238095276,58.16532222222226,58.85762857142856,60.50584285714282,60.31385317460318,65.92755555555557,64.37273333333333,56.27575545726727,55.772318125334756,56.37485962312558,52.6017780132419,53.3058578528648
55,Friday,49.454552380952364,51.9680523809524,51.048390476190484,53.02561233766234,56.20025555555554,51.389722222222204,50.83217380952379,49.706139520804946,50.76088858488656,47.689199337134134,46.80284998485361,44.49008651566405
22,Saturday,22.41520476190477,23.772966666666672,25.8742,25.05016666666667,24.699300000000008,24.304009523809512,26.960800000000013,35.047490674989064,19.668081486202947,21.705411860478712,27.489316119383844,36.9203453276316
24,Sunday,23.318790476190472,23.18450000000001,22.28270000000002,23.62000000000001,24.67733333333333,21.72639523809522,22.281642857142884,25.652116997168413,28.406179402045414,33.52534552142766,32.167641748132475,37.98049896787202
35,Saturday,37.67558888888888,38.561063636363656,38.84274444444444,36.46847705627707,36.02824059829058,38.26730873015869,41.78537121212122,38.6585745601311,40.77451814762694,36.46739400180357,37.73487811251573,38.52347015358506
15,Tuesday,15.516666666666666,14.444899999999995,14.077033333333329,13.748599999999994,11.009566666666665,10.811566666666664,12.340000000000002,22.2557109945469,21.18351268525368,26.862479481287952,31.81810821209958,37.40883100752696
46,Thursday,49.9864,50.35571111111111,46.3251606782107,47.186083333333336,47.91035238095238,44.87228333333334,44.51829761904763,47.61667474591295,40.82442489712841,49.099072679244664,43.34279516043196,35.752072621233395
43,Friday,37.39381428571428,38.142654761904794,40.72224285714286,37.03055555555553,42.44603961038961,40.59140634920633,37.064235064935055,42.49182897321726,44.0388486300439,42.4934741552001,39.79079712361179,38.257879577767454
48,Wednesday,42.0003174603174,42.06443412698411,42.080583333333315,42.407911904761896,40.38480476190475,40.98364199134196,39.62227619047617,48.94289954052676,44.24870359054374,43.41070593188042,39.81820532120866,41.17720847965064
