"","ME","MAE","SDE","MPE","MAPE","Time"
"Additive Pickup",1.02549774119896,5.40707616195421,6.78130854544519,0.233227359141063,0.321411012119599,0.277123928070068
"Multiplicative Pickup",-0.613291055306437,6.91677990759373,8.83338173233633,-0.00774504003337364,0.210150917886711,0.37158203125
"Regression",1.02425995127083,5.34356266953404,6.79553612601656,0.204818088634068,0.296716532511944,0.228874921798706
"Neural Network",-14.5351671812045,14.6741308670785,7.32446576642115,-0.385631449862953,0.402091026666936,197.363716125488
"K-Nearest Neighbor",1.46371938970623,6.31782278871095,8.17526135117778,0.311080952902729,0.408351537074129,24.2570579051971
"Weighted K-Nearest Neighbor",1.39700033602896,6.09200798405727,7.85685917533228,0.256409702278351,0.354600900382611,2.53699684143066
"Decision Tree",1.03404028106238,5.61183667472623,7.06160322544597,0.200946821364802,0.298798671594861,0.155560970306396
"Random Forest",0.900619532779796,5.39399838472705,6.77146656598132,0.166234883400235,0.268185815747406,330.700279951096
"Support Vector Machine",1.04407445588229,5.39859898560863,6.83926658104724,0.215152128203299,0.308034938145858,21.0964350700378
