DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
Sunday,2.111111111111111,3.0444444444444443,4.4,5.5777777777777775,6.511111111111111,8.177777777777777,9.222222222222221,13.866666666666667,18.755555555555556,22.822222222222223,30.11111111111111,33.91111111111111
Monday,2.840909090909091,4.340909090909091,5.159090909090909,7.590909090909091,9.568181818181818,11.136363636363637,12.886363636363637,21.772727272727273,27.40909090909091,33.22727272727273,42.61363636363637,45.86363636363637
Tuesday,2.4166666666666665,4.277777777777778,4.583333333333333,4.972222222222222,6.166666666666667,7.25,8.916666666666666,16.63888888888889,21.694444444444443,27.305555555555557,33.47222222222222,36.69444444444444
Wednesday,1.9534883720930232,3.5813953488372094,5.372093023255814,5.767441860465116,6.162790697674419,7.3023255813953485,8.511627906976743,15.465116279069768,20.488372093023255,25.348837209302324,32.604651162790695,35.83720930232558
Thursday,3.4,5.111111111111111,6.844444444444444,8.311111111111112,8.844444444444445,9.666666666666666,10.844444444444445,16.977777777777778,21.444444444444443,25.755555555555556,34.08888888888889,37.333333333333336
Friday,3.317073170731707,5.7560975609756095,7.609756097560975,9.268292682926829,10.829268292682928,11.536585365853659,12.24390243902439,17.853658536585368,21.585365853658537,25.51219512195122,33.609756097560975,37.51219512195122
Saturday,3.7142857142857144,5.690476190476191,7.738095238095238,9.547619047619047,10.976190476190476,12.142857142857142,12.880952380952381,17.30952380952381,20.261904761904763,23.666666666666668,30.30952380952381,33.26190476190476
