"","DOW","ROH1","ROH2","ROH3","ROH4","ROH5","ROH6","ROH7","ROH14","ROH21","ROH30","ROH60","ROH90"
"1","Sunday",0.939259026497255,0.909655621532042,0.873615018987467,0.841414774931436,0.816978717656288,0.771615634904422,0.745951484588759,0.622727535155049,0.499820646500226,0.39472391779836,0.215064922392793,0.113335328341819
"2","Monday",0.939629353209647,0.90691679731207,0.890411890192043,0.84054993994762,0.801279735152592,0.773080160687351,0.73884098451688,0.570560951048418,0.459362964464568,0.343491387900859,0.149227749025312,0.0823006691948543
"3","Tuesday",0.941549940286116,0.892277704703216,0.884052854934248,0.874262027541476,0.844320094624405,0.820895845164069,0.78717402340375,0.598992068309216,0.476936158084592,0.31987793986021,0.158477005551839,0.0808507207790624
"4","Wednesday",0.942360981392376,0.901318067412531,0.854775165840904,0.846025888526523,0.837010600185082,0.81018856064045,0.781744654015365,0.621885855816342,0.50645666578968,0.389927384297335,0.191444442825837,0.0965843053133337
"5","Thursday",0.913775217566166,0.873047463695782,0.835005260880616,0.802159978064918,0.789311853654718,0.766389519533962,0.738302571053229,0.585254787338768,0.481676217850372,0.379743330569991,0.180910525286312,0.105980717444111
"6","Friday",0.920571878809629,0.864282314269677,0.821740067762918,0.785354235130857,0.748452970760315,0.733238569813611,0.717041946921355,0.589699305601606,0.506721542552187,0.418973417966474,0.236046368386872,0.14471826065968
"7","Saturday",0.902322865714998,0.85244922135766,0.798047427498359,0.753082266744315,0.717239646379225,0.687394328443417,0.66822480105166,0.55245508382017,0.473356196197515,0.381717883012535,0.196997067713397,0.11976863184642
