ROB0,DOW,ROB1,ROB2,ROB3,ROB4,ROB5,ROB6,ROB7,ROB14,ROB21,ROB30,ROB60,ROB90
4,Wednesday,7.700633333333336,7.697100000000001,7.929533333333334,7.864566666666661,7.823766666666667,8.0275,8.646433333333329,10.5803,17.111599999999996,20.533585719835717,28.808144706089006,34.587115841335795
3,Thursday,7.769066666666671,7.828733333333336,7.886633333333332,8.043499999999998,8.060799999999999,8.699100000000003,11.013033333333327,15.269233333333338,17.19786666666667,22.227891472276013,30.443883617792967,39.036636100861784
7,Monday,7.4138666666666655,7.454133333333334,7.7906666666666675,7.833433333333332,7.645033333333331,7.951233333333333,8.786666666666664,13.167900000000001,16.6343,27.797702180465784,42.59149209978984,46.594525676887585
15,Friday,12.790366666666664,12.424699999999996,12.579599999999992,12.4422,12.035100000000005,11.056599999999998,8.323633333333337,11.700333333333335,14.369733333333333,20.692483018529796,32.52988809192559,39.68914157296928
2,Tuesday,7.753000000000004,7.584400000000002,7.877466666666668,8.01963333333333,7.851466666666665,8.078733333333332,8.707633333333334,12.986133333333338,21.452833333333324,33.12257962382291,35.88078363845301,38.07465069241024
2,Wednesday,7.723933333333335,7.736600000000001,7.997700000000001,7.931133333333328,7.859066666666665,8.171633333333334,8.852399999999998,11.572999999999997,13.947266666666671,18.69128889443889,33.8005928785692,34.587115841335795
44,Wednesday,42.56923333333335,42.97679999999999,44.038266666666665,44.42559999999999,44.28743333333329,44.2862,42.71270000000003,46.13283333333332,44.41076153846151,43.40521995163142,41.974218872397415,40.359782606475996
37,Friday,32.7946,34.20639999999998,33.59116666666666,32.464466666666674,33.306333333333335,33.06203333333334,31.88846666666667,27.263699999999993,25.9646,28.43608587362593,38.05567083969954,37.97890913727039
56,Monday,59.50649999999999,58.2025,55.96140000000004,56.89759999999994,59.63773333333336,60.09563333333336,57.57219999999997,60.63076666666665,46.78583846153847,52.01529493635481,48.73918063985432,45.383945489153014
26,Sunday,29.59673333333336,30.06080000000001,30.22206666666666,30.09566666666667,30.583166666666656,30.75093333333334,30.26729999999999,31.833333333333346,36.751801754385966,39.12606875163849,36.82706551859119,34.89443199075348
48,Sunday,52.56336666666668,50.23380000000001,49.90470000000002,49.63329999999997,48.6302333333333,49.19996666666666,51.758266666666664,54.36886666666665,48.231233333333314,44.84237545250225,37.58958752336211,32.02813194104971
48,Monday,49.512899999999995,51.40723333333331,53.661933333333344,53.134633333333376,54.35486666666668,54.81043333333331,58.60976666666666,59.48376666666665,59.47096666666668,59.73437584255068,56.644163368945094,54.2011845132631
52,Thursday,52.74683333333337,52.3772333333333,52.79906666666666,52.60473333333333,53.226733333333335,49.71543333333333,48.72466666666665,47.76296666666664,46.46090256410256,47.31845747778013,44.13099860514296,44.70948993545912
43,Friday,40.201366666666665,34.51936666666664,34.89363333333335,36.113033333333334,32.06893333333334,32.09963333333335,35.13433333333334,33.65549999999998,37.47630000000005,21.659648644716476,30.0318624565901,37.97890913727039
41,Sunday,44.87756666666666,46.10910000000001,45.90046666666664,45.127366666666695,45.678466666666694,44.416533333333334,42.194366666666674,34.98513333333333,37.981701754385966,36.09068989229979,33.156845357249786,32.02813194104971
53,Monday,52.46139999999998,52.5647,55.52513333333334,57.11379999999992,60.24076666666665,61.83346666666669,60.11773333333329,48.63053333333331,58.4442717948718,54.83990152024403,48.73918063985432,45.383945489153014
40,Saturday,37.80819999999999,33.5490666666667,33.833033333333326,33.23020000000002,32.95840000000002,35.00180000000001,35.14483333333332,40.22276666666667,40.665257575757586,34.75744775980247,32.17888520053818,33.263759865589236
47,Sunday,52.045,49.95526666666665,49.16409999999998,49.8083333333333,49.52823333333331,50.82566666666668,52.00283333333335,52.86173333333331,44.48325175438599,41.18283692822256,36.65702868413262,32.03318145975162
45,Monday,48.827366666666684,48.682233333333315,49.97779999999998,51.468933333333325,53.44250000000001,54.77436666666663,55.72056666666665,55.08066666666668,56.66900512820512,56.311774091083905,56.80308876577048,54.56946774418988
47,Monday,42.20093333333333,41.05396666666666,41.44506666666667,41.85786666666668,41.7035333333333,40.95596666666665,46.21849999999996,48.76643333333332,41.45532564102564,31.538460215537352,44.15753935985592,45.383945489153014
40,Friday,40.11566666666667,40.14599999999995,40.20083333333333,40.5364,40.73360000000001,41.50293333333333,43.241200000000035,41.50750000000001,39.81336666666666,37.484682925776625,40.07346265752696,39.68914157296928
40,Tuesday,45.45709999999999,49.200066666666665,49.751666666666694,50.041733333333305,49.78876666666663,51.55936666666664,57.18263333333335,58.04703333333332,59.36143333333335,54.48986701709878,45.64453670352596,43.15364809787113
36,Wednesday,37.366066666666676,38.85633333333334,38.79236666666666,38.93983333333334,38.44363333333331,38.945433333333334,40.67426666666665,46.817933333333336,47.144599999999954,46.60655083606521,39.81948075886508,37.86795900409451
52,Thursday,57.90116666666666,54.575766666666695,52.73190000000001,54.1767333333333,56.174099999999996,56.18879999999996,49.77716666666668,57.96273333333334,52.45296666666669,48.11918439419309,40.84934764914536,40.344542784741925
35,Saturday,37.687833333333316,35.53243333333333,36.70123333333336,37.370266666666694,39.139933333333296,38.71403333333334,39.91150000000002,42.264600000000016,43.15033333333333,39.299215055355226,38.3364243661071,37.852635537917266
68,Monday,68.14903333333332,68.3755,68.31433333333334,67.24879999999999,67.12480000000002,66.09126666666668,63.71839999999999,60.41250000000002,60.51163333333334,56.86142936701031,53.87608569372404,52.30091282334324
42,Tuesday,41.26586666666665,42.00079999999998,43.93333333333333,44.27903333333333,45.49816666666668,51.52589999999999,53.397033333333326,56.07763333333336,44.20203333333334,44.20359070531143,42.03019935429201,37.9120830768504
51,Friday,53.81509999999999,52.98786666666666,52.25063333333332,50.54579999999998,49.15850000000003,50.794299999999986,50.82466666666669,51.8043,52.99500512820511,46.39551791837257,36.91214904630474,39.68914157296928
44,Saturday,39.23863333333334,38.40296666666668,33.86553333333333,33.29213333333334,33.71876666666667,34.3533333333333,35.98649999999999,43.27920000000004,43.03942424242426,37.11133703509977,33.67063022458602,32.538577239187816
57,Tuesday,59.870399999999975,60.84693333333334,60.62116666666663,58.265133333333345,56.464033333333354,47.414866666666676,44.51640000000002,42.554433333333336,38.676033333333336,37.638969795569196,37.148132440961504,35.06528196426455
53,Friday,53.5746,52.700600000000016,52.94730000000002,51.40136666666669,51.75213333333333,52.30876666666669,52.37869999999999,53.76423333333334,54.118205128205084,50.23287223297205,48.879452395878495,47.33723711339009
45,Saturday,33.12019999999999,32.54596666666667,33.6382,33.14606666666667,33.825133333333355,34.08359999999998,35.408933333333316,30.271,25.93396666666668,29.92069627829262,33.02699153139379,33.263759865589236
49,Wednesday,37.985933333333335,40.68596666666665,39.89950000000001,39.45233333333332,39.551366666666674,38.564233333333306,34.42593333333332,35.781566666666656,37.4373,40.31169341329104,39.81948075886508,37.86795900409451
43,Saturday,39.36763333333332,39.67713333333334,40.429566666666666,43.51616666666667,43.846799999999966,43.80853333333334,43.48436666666668,49.087133333333334,47.87939999999999,36.82325281533653,37.4914049234977,37.165903631295706
50,Tuesday,52.15399999999999,52.79819999999999,53.761933333333324,55.274733333333295,55.788033333333324,57.99016666666669,55.82736666666663,48.26506666666665,43.12019999999998,42.704422381608985,37.90297834297651,37.9120830768504
38,Saturday,43.64546666666665,40.14266666666666,41.5515666666667,41.02086666666667,39.715633333333336,41.08546666666668,43.5925,39.47246666666667,39.18246666666666,39.34716151319869,38.02870554936963,37.429285421756134
39,Sunday,39.593833333333315,39.180433333333326,40.03530000000002,40.18323333333332,40.63713333333332,40.650299999999994,41.64749999999998,41.24663333333336,35.89436666666667,33.28874650972829,29.49726974821607,32.03318145975162
42,Wednesday,43.81843333333334,43.865233333333336,44.50496666666667,46.881966666666685,46.365766666666666,40.29589999999999,42.25243333333334,43.318666666666644,15.688199999999998,20.675899338848954,36.86325375400418,37.23756027625459
31,Saturday,35.5058,36.14050000000002,37.02280000000003,37.648399999999995,38.6979,38.334866666666684,39.86586666666668,41.03086666666665,41.718299999999964,41.955109306255274,39.68018160833989,37.852635537917266
14,Monday,13.549766666666663,13.492399999999998,13.923399999999997,13.181533333333334,13.33646666666667,13.408900000000003,13.8216,17.559066666666656,29.624799999999993,39.02603814465324,53.29925597439648,54.2011845132631
34,Saturday,34.569533333333325,36.70896666666667,38.186200000000014,41.04916666666667,38.54366666666668,38.67703333333331,39.17593333333331,43.18133333333334,43.12146666666666,39.32277402971421,38.295294248076985,37.889638712520444
34,Wednesday,33.77976666666667,34.89896666666666,34.61096666666668,35.811966666666684,32.73116666666669,31.32013333333333,31.660166666666658,29.8594,23.22806666666668,20.15938556298773,37.87259229967864,37.86795900409451
54,Thursday,51.672166666666676,52.15153333333333,52.70360000000001,53.1655,55.04656666666667,55.666866666666635,53.341833333333334,59.15460000000004,58.9936666666667,51.15021824303824,49.77747308947042,47.0937539740386
46,Saturday,43.46913333333334,42.9273,44.04786666666669,44.00630000000001,43.88363333333332,44.05806666666667,43.60290000000003,47.97756666666666,50.075699999999976,45.06152461448655,38.55190775786376,37.429285421756134
47,Wednesday,44.42343333333331,48.01633333333332,47.79336666666666,49.67773333333329,50.040233333333354,52.984033333333294,51.810533333333346,50.302833333333304,45.02200000000002,32.819507334035926,33.8005928785692,34.587115841335795
55,Thursday,47.46106666666666,49.60476666666669,49.741600000000005,50.6553,50.41186666666669,49.794799999999995,48.92089999999999,49.71163333333331,50.864700000000006,43.70574882745385,45.66188157557244,45.47424108986028
41,Sunday,40.80273333333332,42.079166666666666,43.96846666666665,45.0447,46.291599999999995,50.57033333333331,50.97676666666668,50.60483333333331,50.04423333333334,47.135600850062275,40.27086149771881,38.5180464433102
56,Monday,51.94736666666666,52.12286666666665,54.46046666666669,55.03576666666666,56.9281,60.018066666666634,61.41106666666664,63.13446666666665,63.067266666666676,61.31546224242528,57.49159678087944,54.223982362725465
48,Tuesday,44.649166666666666,43.28293333333332,42.14486666666669,42.40370000000002,42.64003333333333,45.31193333333335,44.95576666666664,38.88753333333336,41.457785714285706,50.53147321250899,45.798292530855115,42.526528690980015
49,Thursday,42.33376666666666,42.0197,42.5616,42.928566666666676,42.603866666666654,42.86510000000001,42.3631,46.82143333333332,40.68876923076922,41.784026184180654,45.92935721040085,47.23860635499097
61,Monday,61.10829999999999,62.801899999999996,61.08779999999997,60.42369999999998,59.96296666666669,59.97556666666669,56.60709999999994,52.87199999999998,50.1754974358974,51.50125914818677,53.12263720816308,52.30091282334324
49,Tuesday,45.82569999999998,45.94803333333331,45.687533333333334,44.63216666666667,45.12703333333332,45.39073333333335,45.270666666666656,40.803900000000006,40.06841904761904,39.5258897311133,43.17640959889625,41.67407591955223
58,Wednesday,59.166700000000006,59.44806666666666,59.71716666666665,59.81750000000002,59.31719999999999,57.55109999999996,57.320299999999975,47.27226666666666,38.619199999999985,42.55497295577312,44.67833349573827,43.496922086298056
59,Thursday,57.88226666666665,54.8164,53.251166666666656,53.77070000000001,55.10046666666666,49.89503333333332,47.856199999999994,49.85016666666667,46.015002564102566,45.130624502758934,44.08414782257313,44.88102043560357
75,Monday,68.80393333333335,68.71446666666668,68.9336333333333,67.90286666666667,67.5267,66.54413333333336,65.91716666666666,63.6512333333333,61.157299999999985,56.300452090861874,57.585233288815935,54.55946774418988
22,Thursday,20.552099999999992,21.343433333333348,21.123566666666665,21.185999999999996,21.07400000000001,21.88053333333334,23.5542,24.850099999999998,20.402133333333335,23.84915337703793,30.368082336353986,38.6169950656591
48,Tuesday,47.92046666666667,50.76943333333333,47.53316666666667,49.42533333333332,45.39783333333334,48.58269999999998,51.65666666666666,46.773166666666654,39.68946666666669,32.22790094724942,36.406821988156324,36.174108481850055
50,Wednesday,51.016500000000036,51.846933333333304,52.50280000000004,54.32023333333333,54.96196666666669,55.85879999999996,58.660233333333295,59.921733333333336,45.80042820512819,48.57264443471985,44.748651186935945,43.83159801329406
61,Friday,55.650999999999975,52.749166666666625,53.08810000000001,53.3346,53.948100000000004,54.22389999999996,52.838900000000024,47.993133333333304,50.0639717948718,57.16948261029571,53.3756828374624,55.336649109906475
55,Monday,59.223066666666696,59.236533333333334,58.14593333333336,54.03486666666663,53.65983333333335,52.76563333333331,48.76576666666668,45.946400000000004,45.48886410256409,47.52455417480991,44.92886820641614,45.383945489153014
16,Tuesday,17.798400000000008,18.065633333333334,17.686400000000006,16.960033333333335,16.104999999999993,11.686300000000005,8.623933333333332,12.888033333333336,21.452833333333324,33.12257962382291,35.88078363845301,38.07465069241024
25,Wednesday,26.511533333333336,28.80893333333333,28.730166666666673,30.135633333333335,30.199233333333336,31.60480000000001,32.30786666666666,34.88019999999999,28.490700000000004,21.81423333888334,28.808144706089006,34.587115841335795
50,Friday,43.54753333333334,43.333399999999976,44.54800000000003,47.135133333333336,48.41736666666671,46.98653333333335,46.261,38.83626666666666,42.42379999999998,46.97269833765704,43.774537762461016,39.68914157296928
31,Saturday,33.55053333333334,32.40070000000001,33.45863333333333,33.602466666666665,33.5351666666667,33.69066666666664,34.43563333333329,30.78926666666665,29.599066666666662,35.34716585633014,33.67063022458602,32.538577239187816
62,Monday,60.77243333333334,63.2161666666667,61.74826666666662,63.175766666666604,63.589333333333315,61.97073333333333,64.78066666666665,61.47013333333333,57.41287179487176,54.021229861891996,50.16805892618326,49.135593545372195
46,Tuesday,47.89856666666665,49.564466666666654,50.650466666666695,53.06316666666666,53.72936666666668,52.10009999999998,54.663433333333295,49.12246666666667,39.856966666666665,41.2994467387627,41.01826053204077,35.06528196426455
43,Wednesday,48.13403333333334,42.729366666666664,43.492999999999974,43.8221,44.51879999999999,43.924800000000005,43.97886666666667,45.09143333333332,40.70276153846153,44.28861394951881,44.61818928217404,43.768254578950625
51,Wednesday,49.15653333333334,49.572499999999984,49.733233333333345,50.47716666666663,49.378266666666676,52.36346666666667,53.264700000000005,47.607766666666684,48.77309999999994,45.61217016673454,37.68837190714075,37.23756027625459
53,Friday,52.822400000000016,51.967433333333325,52.061433333333305,51.940933333333305,50.76863333333335,50.819633333333314,51.67506666666666,52.49876666666668,55.597305128205114,49.02356832346324,45.40507850332796,42.54190277971004
14,Wednesday,14.110233333333333,14.610999999999997,15.889466666666669,15.650200000000002,14.47753333333333,15.540766666666674,17.90503333333333,22.92076666666667,22.940799999999985,34.36689887629101,38.86331614065061,37.86795900409451
44,Wednesday,42.998499999999986,46.3950333333333,46.96256666666667,47.42216666666666,48.40579999999999,45.12563333333335,43.68976666666667,42.69036666666666,39.41573333333334,39.43497964193696,38.86331614065061,37.86795900409451
19,Tuesday,14.53746666666667,14.317533333333328,14.727899999999995,14.594433333333333,15.295666666666659,15.492333333333336,14.068066666666661,12.888033333333336,21.452833333333324,33.12257962382291,35.88078363845301,38.07465069241024
28,Wednesday,25.938899999999993,23.423233333333314,23.054266666666678,22.624333333333336,21.983866666666664,22.211133333333343,22.941899999999993,23.425533333333323,16.615533333333335,18.606856378186432,33.13802952975492,37.23756027625459
12,Tuesday,12.516766666666673,12.534599999999994,12.652999999999992,13.012466666666665,13.295200000000003,14.072333333333335,13.219666666666669,11.185533333333339,15.666966666666665,21.549366792210076,32.06710618782836,36.174108481850055
