ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
11,Saturday,13.49653333333333,13.703533333333343,13.768566666666674,14.396033333333332,14.264233333333348,15.429033333333333,20.90946793581645,21.43306343048462,35.10065842419128,35.69406108319251,38.189297981812985,37.66363798741619
9,Sunday,7.093666666666666,12.086200000000007,12.499766666666662,4.437900000000001,4.6244333333333305,4.546466666666664,7.40690916352495,10.426302631488612,13.95811431362547,17.35025578162114,28.267848737467748,37.24452895162587
7,Monday,4.2529666666666675,4.325566666666668,4.4982333333333315,3.511666666666665,3.6233000000000026,3.4654666666666656,15.918431992181164,16.913628083195505,18.79047618736563,21.979803268674964,41.255244393174685,47.00065586145052
7,Tuesday,4.200433333333335,4.320300000000002,4.463833333333331,4.4235,4.578033333333332,4.560799999999996,8.777923618251576,13.247037920611323,21.007274125846603,31.750497224036042,37.585474734245764,39.75840579632732
22,Wednesday,20.444300000000002,20.454766666666664,21.274799999999995,21.604599999999987,21.312633333333324,23.057466666666667,19.34937660756443,32.0341848287258,25.998762339620797,27.9766513220429,37.14085760478045,38.15939562443429
15,Friday,13.468799999999996,13.271266666666675,13.169733333333332,13.3498,13.428666666666675,13.724166666666658,15.926665380938585,15.286550825549366,17.35006677507553,15.67975142998826,31.866678502192855,40.27317864194431
26,Saturday,28.831220634920648,27.6041261904762,33.58130952380953,30.36643333333334,25.38555,33.01800476190478,35.722918483989396,35.92639833090231,34.20724207931546,33.49651331172862,36.28670435510965,36.84080746091978
55,Tuesday,50.56508059163058,46.80024747474748,47.390128571428534,44.4103968253968,44.10246938616938,43.69967417027418,43.8321171949618,41.59202351243172,38.72133826730291,39.97579893621458,41.293895990659976,37.425393454406965
21,Saturday,20.61943333333335,22.17213333333334,25.373900000000006,24.981938095238082,25.94836666666666,25.811300000000003,27.15547190588653,21.43306343048462,19.794734774412756,24.668831910852255,37.872793929654684,37.66363798741619
32,Saturday,31.517900000000015,28.881416666666652,36.36270432900432,38.27110596070591,38.29192380952382,40.504895010545,36.895760882290965,39.054188326348296,35.27057575842466,36.703772462817675,36.28670435510965,36.62020160795872
40,Sunday,40.213251587301606,39.912979365079366,39.650257142857164,39.552166666666665,39.76339999999999,41.840023809523785,45.280060163244286,38.151854033477406,49.162261193101635,42.408789634730134,41.64653744849085,41.95712283318204
