ROH0,DOW,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
11,Saturday,14.131033333333338,14.432633333333344,14.281400000000005,14.955866666666672,15.221700000000004,16.189666666666675,15.901633333333335,17.889366666666678,32.28240000000002,34.83774405368486,37.97028591326486,37.60559827971707
9,Sunday,7.093666666666666,6.995399999999997,6.2472333333333365,4.537800000000001,4.850300000000001,4.769799999999999,4.9052333333333324,9.179199999999994,13.634766666666664,23.278462739918247,27.91212179238206,37.58842240698363
7,Monday,3.7242999999999973,3.849333333333332,3.7707666666666673,3.8184666666666653,4.071366666666666,3.9307666666666683,4.070899999999999,6.701266666666665,6.250400000000002,30.324464983447204,41.98422376664433,47.548540034543066
7,Tuesday,5.030500000000001,5.316733333333332,5.161000000000005,5.395600000000004,5.854933333333334,5.882466666666662,6.114866666666669,10.95363333333333,20.848833333333328,33.231846766835595,39.81512960953946,39.947133740691974
22,Wednesday,21.79513333333333,21.992933333333323,22.592266666666674,22.08946666666667,22.54156666666666,22.23569999999999,23.083833333333338,34.93813333333331,26.474533333333326,29.40285288297061,33.41386393431553,38.07639461259211
15,Friday,13.505233333333337,13.271366666666673,13.409533333333334,13.540400000000005,13.189133333333336,13.381100000000012,13.654133333333332,11.217333333333329,14.391433333333335,22.59792073484652,29.991162067675265,40.51864600002711
26,Saturday,28.330499999999994,29.310366666666656,31.87329999999999,29.043599999999994,30.49953333333333,31.698100000000018,33.44453333333332,31.566566666666652,31.833299999999976,35.36475772607937,35.976710791163526,36.80239971485079
55,Tuesday,50.66303333333333,48.35180000000002,47.484466666666684,46.05083333333337,44.92856666666666,45.056266666666666,42.004666666666665,40.94459999999999,38.08466666666663,42.30851430682877,42.32671368712213,37.4921790044402
21,Saturday,22.37013333333334,22.98523333333334,23.975099999999987,24.499200000000013,24.151499999999988,23.98256666666667,24.42400000000001,20.797600000000006,18.871499999999994,31.15487358512279,37.58141929423635,37.60559827971707
32,Saturday,30.931566666666658,31.850599999999982,34.639599999999994,35.85023333333333,35.24439999999999,35.02136666666666,34.36913333333332,37.57406666666667,33.28973333333333,36.63741999546738,35.73748594756312,36.29469946183906
40,Sunday,39.6211,41.102200000000025,41.599866666666685,42.81363333333334,43.927966666666656,45.02713333333335,46.69653333333331,35.53570000000002,48.24536666666669,42.65389043822937,39.208663061826236,39.61895508737469
26,Sunday,30.532300000000003,31.28493333333333,31.883366666666664,32.05563333333334,30.861799999999988,31.392400000000002,31.340233333333348,33.38190000000002,33.59969999999999,38.254056330256155,37.082626093530635,36.394112811487894
49,Thursday,52.16453333333333,50.306499999999986,51.115533333333325,51.2146666666667,50.931433333333324,50.519233333333354,51.69963333333329,50.304933333333345,53.05493333333339,45.52175807487462,41.49352863906229,38.50497393137544
44,Friday,39.17780000000002,37.10096666666667,33.79193333333331,35.542466666666655,37.00840000000001,38.30653333333333,36.95563333333333,40.53496666666664,41.52243333333331,40.240375079722305,39.29141139428013,39.40561360934705
30,Tuesday,30.558366666666657,31.83310000000001,31.407633333333347,31.879400000000008,32.986899999999984,33.763133333333315,34.19376666666667,39.34163333333335,43.573766666666685,46.649945613743796,43.123542476510764,39.947133740691974
43,Friday,35.81546666666667,37.20033333333334,34.15759999999999,34.725066666666635,35.80363333333335,35.010400000000004,33.60619999999997,32.52599999999998,39.98066666666668,27.577742722849422,28.743924433164977,38.15661612206739
56,Monday,59.23166666666668,60.43259999999999,60.79153333333333,61.16580000000002,61.65690000000003,61.83723333333333,60.95033333333332,58.088999999999984,56.576899999999995,56.57814365404704,54.69155220857361,53.386487259007914
55,Friday,49.3951333333333,51.3693333333333,51.39893333333336,52.05076666666668,53.17690000000001,51.51526666666665,51.54020000000004,53.002933333333296,54.6401333333333,49.516245386515166,47.657450084372194,44.53252259800919
